[coverage strength]
4
""
S7_type_paymentCount,S7_select_schedulingTypeSelect_index_1,S14_submit_submitButton,S12_click_calculatePaymentsButton,S11_type_recurrenceNumberText,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_3,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
validPaymentCountBetween17and36,IMMEDIATELY,action,action,invalidRecurrenceNumberLef,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,IMMEDIATELY,action,action,validRecurrenceNumberBetween1and7,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,IMMEDIATELY,action,action,validRecurrenceNumberBetween7and30,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,IMMEDIATELY,action,action,invalidRecurrenceNumberRight,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,IMMEDIATELY,action,action,validRecurrenceNumberBetween1and7,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,IMMEDIATELY,action,action,invalidRecurrenceNumberRight,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,IMMEDIATELY,action,action,validRecurrenceNumberBetween1and7,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,IMMEDIATELY,action,action,validRecurrenceNumberBetween7and30,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,IMMEDIATELY,action,action,validRecurrenceNumberBetween7and30,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,IMMEDIATELY,action,action,invalidRecurrenceNumberLef,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,IMMEDIATELY,action,action,validRecurrenceNumberBetween1and7,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,IMMEDIATELY,action,action,invalidRecurrenceNumberLef,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,IMMEDIATELY,action,action,invalidRecurrenceNumberLef,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,IMMEDIATELY,action,action,validRecurrenceNumberBetween7and30,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,IMMEDIATELY,action,action,invalidRecurrenceNumberRight,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,IMMEDIATELY,action,action,validRecurrenceNumberBetween1and7,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
