[coverage strength]
4
""
S7_type_paymentCount,S12_select_recurrenceFieldSelect,S14_submit_submitButton,S7_select_schedulingTypeSelect_index_2,S11_type_recurrenceNumberText,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S13_click_calculatePaymentsButton
validPaymentCountBetween17and36,DAYS,action,SINGLE_FUTURE,invalidRecurrenceNumberLef,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validPaymentCountBetween17and36,WEEKS,action,SINGLE_FUTURE,invalidRecurrenceNumberRight,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validPaymentCountBetween17and36,MONTHS,action,SINGLE_FUTURE,validRecurrenceNumberBetween7and30,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validPaymentCountBetween1and6,DAYS,action,SINGLE_FUTURE,validRecurrenceNumberBetween1and7,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validPaymentCountBetween1and6,WEEKS,action,SINGLE_FUTURE,invalidRecurrenceNumberLef,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validPaymentCountBetween1and6,MONTHS,action,SINGLE_FUTURE,invalidRecurrenceNumberRight,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidPaymentCountLef,DAYS,action,SINGLE_FUTURE,validRecurrenceNumberBetween7and30,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidPaymentCountLef,WEEKS,action,SINGLE_FUTURE,validRecurrenceNumberBetween1and7,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidPaymentCountLef,MONTHS,action,SINGLE_FUTURE,invalidRecurrenceNumberLef,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidPaymentCountRight,DAYS,action,SINGLE_FUTURE,invalidRecurrenceNumberRight,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidPaymentCountRight,WEEKS,action,SINGLE_FUTURE,validRecurrenceNumberBetween7and30,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidPaymentCountRight,MONTHS,action,SINGLE_FUTURE,validRecurrenceNumberBetween1and7,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validPaymentCountBetween17and36,DAYS,action,SINGLE_FUTURE,validRecurrenceNumberBetween1and7,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validPaymentCountBetween17and36,DAYS,action,SINGLE_FUTURE,invalidRecurrenceNumberLef,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
