[coverage strength]
4
""
S7_type_paymentCount,S12_select_recurrenceFieldSelect,S7_select_schedulingTypeSelect_index_1,S8c3_submit_submitButton,S11_type_recurrenceNumberText,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_3,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description,S13_click_calculatePaymentsButton
validPaymentCountBetween17and36,DAYS,IMMEDIATELY,action,invalidRecurrenceNumberLef,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action
validPaymentCountBetween17and36,WEEKS,IMMEDIATELY,action,invalidRecurrenceNumberRight,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action
validPaymentCountBetween17and36,MONTHS,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action
validPaymentCountBetween1and6,DAYS,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action
validPaymentCountBetween1and6,WEEKS,IMMEDIATELY,action,invalidRecurrenceNumberLef,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action
validPaymentCountBetween1and6,MONTHS,IMMEDIATELY,action,invalidRecurrenceNumberRight,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action
invalidPaymentCountLef,DAYS,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action
invalidPaymentCountLef,WEEKS,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action
invalidPaymentCountLef,MONTHS,IMMEDIATELY,action,invalidRecurrenceNumberLef,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action
invalidPaymentCountRight,DAYS,IMMEDIATELY,action,invalidRecurrenceNumberRight,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action
invalidPaymentCountRight,WEEKS,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action
invalidPaymentCountRight,MONTHS,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action
invalidPaymentCountRight,MONTHS,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action
