[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S7_select_schedulingTypeSelect_index_1,S10_click_calculatePaymentsButton,S8c3_submit_submitButton,S3_select_schedulingTypeSelect_index_3,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description
validPaymentCountBetween17and36,invalidAmountRight,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween17and36,validAcceptableAmount,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween17and36,invalidAmountLeft,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween1and6,validAcceptableAmount,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidPaymentCountLef,invalidAmountRight,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidPaymentCountLef,validAcceptableAmount,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidPaymentCountLef,invalidAmountLeft,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidPaymentCountRight,invalidAmountRight,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
