[coverage strength]
5
""
S7_type_paymentCount,S12_select_recurrenceFieldSelect,S5_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_1,S8c3_submit_submitButton,S11_type_recurrenceNumberText,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description,S13_click_calculatePaymentsButton
validPaymentCountBetween17and36,DAYS,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,anyString,action
validPaymentCountBetween17and36,WEEKS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,invalidAmountRight,02/02/2012,action,action,test1,anyString,action
validPaymentCountBetween17and36,MONTHS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,validAcceptableAmount,02/02/2012,action,action,test1,anyString,action
validPaymentCountBetween1and6,DAYS,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,validAcceptableAmount,02/02/2012,action,action,test1,anyString,action
validPaymentCountBetween1and6,WEEKS,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,anyString,action
validPaymentCountBetween1and6,MONTHS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,invalidAmountRight,invalidPaymentPastDate,action,action,test1,anyString,action
invalidPaymentCountLef,DAYS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,invalidAmountRight,invalidPaymentPastDate,action,action,test1,anyString,action
invalidPaymentCountLef,WEEKS,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,anyString,action
invalidPaymentCountLef,MONTHS,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,anyString,action
invalidPaymentCountRight,DAYS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,anyString,action
invalidPaymentCountRight,WEEKS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,invalidAmountLeft,02/02/2012,action,action,test1,anyString,action
invalidPaymentCountRight,MONTHS,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,anyString,action
validPaymentCountBetween17and36,MONTHS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,anyString,action
validPaymentCountBetween17and36,WEEKS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,anyString,action
invalidPaymentCountLef,DAYS,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,anyString,action
invalidPaymentCountLef,MONTHS,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentPastDate,action,action,test1,anyString,action
invalidPaymentCountRight,WEEKS,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,invalidAmountRight,02/02/2012,action,action,test1,anyString,action
validPaymentCountBetween17and36,MONTHS,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,invalidAmountRight,invalidPaymentPastDate,action,action,test1,anyString,action
validPaymentCountBetween17and36,DAYS,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,anyString,action
invalidPaymentCountRight,MONTHS,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,anyString,action
invalidPaymentCountLef,WEEKS,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,anyString,action
invalidPaymentCountLef,MONTHS,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,invalidAmountLeft,02/02/2012,action,action,test1,anyString,action
invalidPaymentCountRight,MONTHS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,anyString,action
validPaymentCountBetween1and6,DAYS,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,anyString,action
invalidPaymentCountRight,DAYS,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentPastDate,action,action,test1,anyString,action
