[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S0_type_memberUserName,S7_select_schedulingTypeSelect_index_2,S10_submit_submitButton,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton
validPaymentCountBetween17and36,invalidAmountRight,test1,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,validAcceptableAmount,test1,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,invalidAmountLeft,test1,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountRight,test1,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,validAcceptableAmount,test1,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountLeft,test1,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountRight,test1,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
invalidPaymentCountLef,validAcceptableAmount,test1,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountLeft,test1,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountRight,test1,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
invalidPaymentCountRight,validAcceptableAmount,test1,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountLeft,test1,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
