[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S11_submit_submitButton,S5_select_schedulingTypeSelect_index_2,S0_type_memberUserName,S1_wait_input,S3_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
