[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S5_select_schedulingTypeSelect_index_2,S10_click_calculatePaymentsButton,S14_type_description,S8c3_submit_submitButton,S1_wait_input,S3_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,SINGLE_FUTURE,action,anyString,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,SINGLE_FUTURE,action,anyString,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,SINGLE_FUTURE,action,anyString,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountRight,SINGLE_FUTURE,action,anyString,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,SINGLE_FUTURE,action,anyString,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountRight,SINGLE_FUTURE,action,anyString,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountLeft,SINGLE_FUTURE,action,anyString,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountRight,SINGLE_FUTURE,action,anyString,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,validAcceptableAmount,SINGLE_FUTURE,action,anyString,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountLeft,SINGLE_FUTURE,action,anyString,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
