[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S10_click_calculatePaymentsButton,S14_submit_submitButton,S18_click_cssInputButton,S0_type_memberUserName,S6_select_schedulingTypeSelect_index_1
validPaymentCountBetween17and36,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,action,test1,IMMEDIATELY
validPaymentCountBetween17and36,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,action,test1,IMMEDIATELY
validPaymentCountBetween17and36,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,action,test1,IMMEDIATELY
validPaymentCountBetween1and6,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,action,test1,IMMEDIATELY
validPaymentCountBetween1and6,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,action,test1,IMMEDIATELY
validPaymentCountBetween1and6,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,action,test1,IMMEDIATELY
invalidPaymentCountLef,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,action,test1,IMMEDIATELY
invalidPaymentCountLef,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,action,test1,IMMEDIATELY
invalidPaymentCountLef,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,action,test1,IMMEDIATELY
invalidPaymentCountRight,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,action,test1,IMMEDIATELY
invalidPaymentCountRight,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,action,test1,IMMEDIATELY
invalidPaymentCountRight,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,action,test1,IMMEDIATELY
