[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S11_submit_submitButton,S3_select_schedulingTypeSelect_index_1,S18_click_cssInputButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
invalidPaymentCountLef,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
invalidPaymentCountLef,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
invalidPaymentCountRight,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
invalidPaymentCountRight,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
invalidPaymentCountRight,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,IMMEDIATELY,action,test1
