[coverage strength]
4
""
S7_type_paymentCount,S2_type_amount,S1_wait_input,S3_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S10_submit_submitButton
validPaymentCountBetween17and36,invalidAmountRight,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
validPaymentCountBetween17and36,validAcceptableAmount,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
validPaymentCountBetween17and36,invalidAmountLeft,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
validPaymentCountBetween1and6,invalidAmountRight,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
validPaymentCountBetween1and6,validAcceptableAmount,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
validPaymentCountBetween1and6,invalidAmountLeft,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
invalidPaymentCountLef,invalidAmountRight,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
invalidPaymentCountLef,validAcceptableAmount,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
invalidPaymentCountLef,invalidAmountLeft,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
invalidPaymentCountRight,invalidAmountRight,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
invalidPaymentCountRight,validAcceptableAmount,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
invalidPaymentCountRight,invalidAmountLeft,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
