[coverage strength]
3
""
S5_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_1,S13_submit_submitButton,S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,DAYS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,validAcceptableAmount,02/02/2012,action,action,test1
MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,invalidAmountLeft,invalidPaymentPastDate,action,action,test1
MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,WEEKS,validAcceptableAmount,02/02/2012,action,action,test1
MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,invalidPaymentCountLef,DAYS,invalidAmountLeft,02/02/2012,action,action,test1
MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,invalidAmountRight,invalidPaymentPastDate,action,action,test1
MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,validPaymentCountBetween17and36,DAYS,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MONTHS,invalidAmountLeft,invalidPaymentPastDate,action,action,test1
MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,invalidPaymentCountLef,WEEKS,invalidAmountRight,02/02/2012,action,action,test1
MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,invalidAmountRight,02/02/2012,action,action,test1
MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,validPaymentCountBetween1and6,WEEKS,validAcceptableAmount,invalidPaymentPastDate,action,action,test1
MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,invalidPaymentCountLef,DAYS,invalidAmountRight,invalidPaymentPastDate,action,action,test1
MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,invalidPaymentCountRight,DAYS,validAcceptableAmount,02/02/2012,action,action,test1
MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,validPaymentCountBetween17and36,DAYS,invalidAmountRight,invalidPaymentPastDate,action,action,test1
MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,invalidAmountRight,02/02/2012,action,action,test1
