[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S14_submit_submitButton,S11_click_calculatePaymentsButton,S6_select_schedulingTypeSelect_index_1,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,action,action,IMMEDIATELY,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,action,action,IMMEDIATELY,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,action,action,IMMEDIATELY,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidAmountRight,action,action,IMMEDIATELY,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,action,action,IMMEDIATELY,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,action,action,IMMEDIATELY,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidAmountRight,action,action,IMMEDIATELY,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,validAcceptableAmount,action,action,IMMEDIATELY,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidAmountLeft,action,action,IMMEDIATELY,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidAmountRight,action,action,IMMEDIATELY,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,validAcceptableAmount,action,action,IMMEDIATELY,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidAmountLeft,action,action,IMMEDIATELY,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,action,action,IMMEDIATELY,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,invalidAmountRight,action,action,IMMEDIATELY,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidAmountRight,action,action,IMMEDIATELY,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,action,action,IMMEDIATELY,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidAmountRight,action,action,IMMEDIATELY,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,validAcceptableAmount,action,action,IMMEDIATELY,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidAmountLeft,action,action,IMMEDIATELY,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidAmountRight,action,action,IMMEDIATELY,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,validAcceptableAmount,action,action,IMMEDIATELY,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidAmountLeft,action,action,IMMEDIATELY,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
