[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S3_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_3,S13_submit_submitButton,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,SINGLE_FUTURE,MULTIPLE_FUTURE,action,WEEKS,invalidAmountRight,02/02/2012,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MONTHS,validAcceptableAmount,invalidPaymentPastDate,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,SINGLE_FUTURE,MULTIPLE_FUTURE,action,DAYS,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,WEEKS,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MONTHS,invalidAmountLeft,02/02/2012,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,SINGLE_FUTURE,MULTIPLE_FUTURE,action,DAYS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,SINGLE_FUTURE,MULTIPLE_FUTURE,action,WEEKS,validAcceptableAmount,invalidPaymentPastDate,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MONTHS,invalidAmountRight,invalidPaymentPastDate,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,SINGLE_FUTURE,MULTIPLE_FUTURE,action,DAYS,validAcceptableAmount,invalidPaymentPastDate,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,SINGLE_FUTURE,MULTIPLE_FUTURE,action,WEEKS,invalidAmountLeft,02/02/2012,action,action,test1
