[coverage strength]
5
""
S7_type_paymentCount,S10_type_firstPaymentDate,S7_select_schedulingTypeSelect_index_1,S14_submit_submitButton,S11_click_calculatePaymentsButton,S2_type_amount,S3_select_schedulingTypeSelect_index_3,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,action,action,invalidAmountLeft,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,action,action,invalidAmountRight,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,action,action,validAcceptableAmount,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,action,action,invalidAmountRight,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,action,action,validAcceptableAmount,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,action,action,invalidAmountLeft,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,action,action,validAcceptableAmount,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,02/02/2012,IMMEDIATELY,action,action,invalidAmountLeft,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,action,action,invalidAmountRight,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,action,action,validAcceptableAmount,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,02/02/2012,IMMEDIATELY,action,action,invalidAmountLeft,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,action,action,invalidAmountRight,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,action,action,invalidAmountRight,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,action,action,invalidAmountRight,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,action,action,invalidAmountLeft,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,action,action,invalidAmountRight,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,action,action,validAcceptableAmount,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,action,action,invalidAmountLeft,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,action,action,validAcceptableAmount,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,action,action,invalidAmountLeft,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,02/02/2012,IMMEDIATELY,action,action,validAcceptableAmount,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,action,action,invalidAmountRight,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,02/02/2012,IMMEDIATELY,action,action,validAcceptableAmount,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,action,action,invalidAmountLeft,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
