[coverage strength]
5
""
S7_type_paymentCount,S12_select_recurrenceFieldSelect,S3_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_3,S14_submit_submitButton,S11_type_recurrenceNumberText,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S13_click_calculatePaymentsButton
validPaymentCountBetween17and36,DAYS,SINGLE_FUTURE,MULTIPLE_FUTURE,action,validRecurrenceNumberBetween7and30,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,action
validPaymentCountBetween17and36,WEEKS,SINGLE_FUTURE,MULTIPLE_FUTURE,action,validRecurrenceNumberBetween1and7,invalidAmountRight,invalidPaymentPastDate,action,action,test1,action
validPaymentCountBetween17and36,MONTHS,SINGLE_FUTURE,MULTIPLE_FUTURE,action,invalidRecurrenceNumberLef,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,action
validPaymentCountBetween1and6,DAYS,SINGLE_FUTURE,MULTIPLE_FUTURE,action,invalidRecurrenceNumberRight,invalidAmountRight,invalidPaymentPastDate,action,action,test1,action
validPaymentCountBetween1and6,WEEKS,SINGLE_FUTURE,MULTIPLE_FUTURE,action,validRecurrenceNumberBetween7and30,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,action
validPaymentCountBetween1and6,MONTHS,SINGLE_FUTURE,MULTIPLE_FUTURE,action,validRecurrenceNumberBetween1and7,validAcceptableAmount,02/02/2012,action,action,test1,action
invalidPaymentCountLef,DAYS,SINGLE_FUTURE,MULTIPLE_FUTURE,action,invalidRecurrenceNumberLef,invalidAmountLeft,02/02/2012,action,action,test1,action
invalidPaymentCountLef,WEEKS,SINGLE_FUTURE,MULTIPLE_FUTURE,action,invalidRecurrenceNumberRight,validAcceptableAmount,02/02/2012,action,action,test1,action
invalidPaymentCountLef,MONTHS,SINGLE_FUTURE,MULTIPLE_FUTURE,action,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentPastDate,action,action,test1,action
invalidPaymentCountRight,DAYS,SINGLE_FUTURE,MULTIPLE_FUTURE,action,validRecurrenceNumberBetween1and7,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,action
invalidPaymentCountRight,WEEKS,SINGLE_FUTURE,MULTIPLE_FUTURE,action,invalidRecurrenceNumberLef,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
invalidPaymentCountRight,MONTHS,SINGLE_FUTURE,MULTIPLE_FUTURE,action,invalidRecurrenceNumberRight,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,action
validPaymentCountBetween17and36,DAYS,SINGLE_FUTURE,MULTIPLE_FUTURE,action,invalidRecurrenceNumberLef,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,action
validPaymentCountBetween17and36,DAYS,SINGLE_FUTURE,MULTIPLE_FUTURE,action,validRecurrenceNumberBetween1and7,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
