[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S5_select_schedulingTypeSelect_index_3,S11_submit_submitButton,S3_select_schedulingTypeSelect_index_1,S10_type_firstPaymentDate,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,MULTIPLE_FUTURE,action,IMMEDIATELY,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,MULTIPLE_FUTURE,action,IMMEDIATELY,02/02/2012,action,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,MULTIPLE_FUTURE,action,IMMEDIATELY,invalidPaymentPastDate,action,action,test1
validPaymentCountBetween1and6,invalidAmountRight,MULTIPLE_FUTURE,action,IMMEDIATELY,invalidPaymentPastDate,action,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,MULTIPLE_FUTURE,action,IMMEDIATELY,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,MULTIPLE_FUTURE,action,IMMEDIATELY,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountLef,invalidAmountRight,MULTIPLE_FUTURE,action,IMMEDIATELY,invalidPaymentPastDate,action,action,test1
invalidPaymentCountLef,validAcceptableAmount,MULTIPLE_FUTURE,action,IMMEDIATELY,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountLef,invalidAmountLeft,MULTIPLE_FUTURE,action,IMMEDIATELY,02/02/2012,action,action,test1
invalidPaymentCountRight,invalidAmountRight,MULTIPLE_FUTURE,action,IMMEDIATELY,02/02/2012,action,action,test1
invalidPaymentCountRight,validAcceptableAmount,MULTIPLE_FUTURE,action,IMMEDIATELY,invalidPaymentPastDate,action,action,test1
invalidPaymentCountRight,invalidAmountLeft,MULTIPLE_FUTURE,action,IMMEDIATELY,invalidPaymentFutureDate,action,action,test1
