[coverage strength]
6
""
S7_type_paymentCount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_1,S8c3_submit_submitButton,S11_click_calculatePaymentsButton,S2_type_amount,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description
validPaymentCountBetween17and36,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validAcceptableAmount,action,action,test1,anyString
validPaymentCountBetween17and36,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountLeft,action,action,test1,anyString
validPaymentCountBetween17and36,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountRight,action,action,test1,anyString
validPaymentCountBetween1and6,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountLeft,action,action,test1,anyString
validPaymentCountBetween1and6,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountRight,action,action,test1,anyString
validPaymentCountBetween1and6,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validAcceptableAmount,action,action,test1,anyString
invalidPaymentCountLef,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountRight,action,action,test1,anyString
invalidPaymentCountLef,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validAcceptableAmount,action,action,test1,anyString
invalidPaymentCountLef,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountLeft,action,action,test1,anyString
invalidPaymentCountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountRight,action,action,test1,anyString
invalidPaymentCountRight,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validAcceptableAmount,action,action,test1,anyString
invalidPaymentCountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountLeft,action,action,test1,anyString
invalidPaymentCountLef,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountLeft,action,action,test1,anyString
