[coverage strength]
4
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S3_select_schedulingTypeSelect_index_1,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description,S8c3_submit_submitButton,S11_click_calculatePaymentsButton
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,anyString,action,action
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,anyString,action,action
validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,anyString,action,action
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,anyString,action,action
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,anyString,action,action
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,anyString,action,action
validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,anyString,action,action
invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,anyString,action,action
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,anyString,action,action
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,anyString,action,action
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,anyString,action,action
invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,anyString,action,action
invalidPaymentCountRight,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,anyString,action,action
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,anyString,action,action
invalidPaymentCountRight,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,anyString,action,action
