[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S14_submit_submitButton,S18_click_cssInputButton,S0_type_memberUserName,S11_click_calculatePaymentsButton
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountRight,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountRight,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
