[coverage strength]
3
""
S7_type_paymentCount,S2_type_amount,S3_select_schedulingTypeSelect_index_2,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S10_click_calculatePaymentsButton,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description,S8c3_submit_submitButton
validPaymentCountBetween17and36,invalidAmountRight,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString,action
validPaymentCountBetween17and36,validAcceptableAmount,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString,action
validPaymentCountBetween17and36,invalidAmountLeft,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString,action
validPaymentCountBetween1and6,invalidAmountRight,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString,action
validPaymentCountBetween1and6,validAcceptableAmount,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString,action
validPaymentCountBetween1and6,invalidAmountLeft,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString,action
invalidPaymentCountLef,invalidAmountRight,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString,action
invalidPaymentCountLef,validAcceptableAmount,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString,action
invalidPaymentCountLef,invalidAmountLeft,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString,action
invalidPaymentCountRight,invalidAmountRight,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString,action
invalidPaymentCountRight,validAcceptableAmount,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString,action
invalidPaymentCountRight,invalidAmountLeft,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString,action
