[coverage strength]
4
""
S7_type_paymentCount,S12_select_recurrenceFieldSelect,S14_submit_submitButton,S3_select_schedulingTypeSelect_index_3,S11_type_recurrenceNumberText,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S13_click_calculatePaymentsButton
validPaymentCountBetween17and36,DAYS,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween7and30,validAcceptableAmount,02/02/2012,action,action,test1,action
validPaymentCountBetween17and36,WEEKS,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween1and7,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,action
validPaymentCountBetween17and36,MONTHS,action,MULTIPLE_FUTURE,invalidRecurrenceNumberLef,invalidAmountRight,02/02/2012,action,action,test1,action
validPaymentCountBetween1and6,DAYS,action,MULTIPLE_FUTURE,invalidRecurrenceNumberRight,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,action
validPaymentCountBetween1and6,WEEKS,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
validPaymentCountBetween1and6,MONTHS,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween1and7,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,action
invalidPaymentCountLef,DAYS,action,MULTIPLE_FUTURE,invalidRecurrenceNumberLef,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
invalidPaymentCountLef,WEEKS,action,MULTIPLE_FUTURE,invalidRecurrenceNumberRight,validAcceptableAmount,02/02/2012,action,action,test1,action
invalidPaymentCountLef,MONTHS,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween7and30,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,action
invalidPaymentCountRight,DAYS,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween1and7,invalidAmountRight,02/02/2012,action,action,test1,action
invalidPaymentCountRight,WEEKS,action,MULTIPLE_FUTURE,invalidRecurrenceNumberLef,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,action
invalidPaymentCountRight,MONTHS,action,MULTIPLE_FUTURE,invalidRecurrenceNumberRight,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,action
invalidPaymentCountRight,MONTHS,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentPastDate,action,action,test1,action
validPaymentCountBetween17and36,MONTHS,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween7and30,validAcceptableAmount,02/02/2012,action,action,test1,action
validPaymentCountBetween1and6,DAYS,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween7and30,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,action
validPaymentCountBetween1and6,MONTHS,action,MULTIPLE_FUTURE,invalidRecurrenceNumberLef,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,action
validPaymentCountBetween17and36,MONTHS,action,MULTIPLE_FUTURE,invalidRecurrenceNumberRight,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
validPaymentCountBetween17and36,DAYS,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween1and7,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,action
invalidPaymentCountLef,WEEKS,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
invalidPaymentCountLef,DAYS,action,MULTIPLE_FUTURE,invalidRecurrenceNumberRight,validAcceptableAmount,02/02/2012,action,action,test1,action
validPaymentCountBetween1and6,WEEKS,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween1and7,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,action
invalidPaymentCountLef,MONTHS,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween1and7,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
invalidPaymentCountRight,MONTHS,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween1and7,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,action
invalidPaymentCountLef,DAYS,action,MULTIPLE_FUTURE,invalidRecurrenceNumberRight,invalidAmountRight,invalidPaymentPastDate,action,action,test1,action
validPaymentCountBetween17and36,WEEKS,action,MULTIPLE_FUTURE,invalidRecurrenceNumberLef,invalidAmountRight,invalidPaymentPastDate,action,action,test1,action
invalidPaymentCountRight,MONTHS,action,MULTIPLE_FUTURE,invalidRecurrenceNumberLef,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,action
validPaymentCountBetween1and6,DAYS,action,MULTIPLE_FUTURE,validRecurrenceNumberBetween7and30,invalidAmountRight,02/02/2012,action,action,test1,action
validPaymentCountBetween1and6,DAYS,action,MULTIPLE_FUTURE,invalidRecurrenceNumberRight,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
