[coverage strength]
4
""
S7_type_paymentCount,S10_type_firstPaymentDate,S6_select_schedulingTypeSelect_index_1,S8c3_submit_submitButton,S2_type_amount,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S11_click_calculatePaymentsButton,S0_type_memberUserName,S14_type_description
validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,anyString
validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,anyString
validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,anyString
validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,anyString
validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,anyString
validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,anyString
invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,anyString
invalidPaymentCountLef,02/02/2012,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,anyString
invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,anyString
invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,anyString
invalidPaymentCountRight,02/02/2012,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,anyString
invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,action,test1,anyString
