[coverage strength]
4
""
S7_type_paymentCount,S10_type_firstPaymentDate,S7_select_schedulingTypeSelect_index_2,S8c3_submit_submitButton,S2_type_amount,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S11_click_calculatePaymentsButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S14_type_description
validPaymentCountBetween17and36,invalidPaymentFutureDate,SINGLE_FUTURE,action,invalidAmountLeft,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
validPaymentCountBetween17and36,02/02/2012,SINGLE_FUTURE,action,invalidAmountRight,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
validPaymentCountBetween17and36,invalidPaymentPastDate,SINGLE_FUTURE,action,validAcceptableAmount,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
validPaymentCountBetween1and6,invalidPaymentFutureDate,SINGLE_FUTURE,action,invalidAmountRight,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
validPaymentCountBetween1and6,02/02/2012,SINGLE_FUTURE,action,validAcceptableAmount,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
validPaymentCountBetween1and6,invalidPaymentPastDate,SINGLE_FUTURE,action,invalidAmountLeft,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountLef,invalidPaymentFutureDate,SINGLE_FUTURE,action,validAcceptableAmount,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountLef,02/02/2012,SINGLE_FUTURE,action,invalidAmountLeft,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountLef,invalidPaymentPastDate,SINGLE_FUTURE,action,invalidAmountRight,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,validAcceptableAmount,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountRight,02/02/2012,SINGLE_FUTURE,action,invalidAmountLeft,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,invalidAmountRight,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
