[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_2,S2_type_amount,S3_select_schedulingTypeSelect_index_1,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S13_submit_submitButton
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,invalidPaymentFutureDate,SINGLE_FUTURE,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,02/02/2012,SINGLE_FUTURE,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,invalidPaymentPastDate,SINGLE_FUTURE,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,invalidPaymentFutureDate,SINGLE_FUTURE,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,02/02/2012,SINGLE_FUTURE,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,invalidPaymentPastDate,SINGLE_FUTURE,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,invalidPaymentFutureDate,SINGLE_FUTURE,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,02/02/2012,SINGLE_FUTURE,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,invalidPaymentPastDate,SINGLE_FUTURE,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,invalidPaymentFutureDate,SINGLE_FUTURE,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,02/02/2012,SINGLE_FUTURE,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,invalidPaymentPastDate,SINGLE_FUTURE,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,invalidPaymentFutureDate,SINGLE_FUTURE,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,02/02/2012,SINGLE_FUTURE,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
