[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S10_type_firstPaymentDate,S7_select_schedulingTypeSelect_index_1,S2_type_amount,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S13_submit_submitButton
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,02/02/2012,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,invalidPaymentFutureDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,02/02/2012,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,02/02/2012,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,invalidPaymentPastDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
