[coverage strength]
6
""
S7_type_paymentCount,S10_type_firstPaymentDate,S6_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_3,S11_click_calculatePaymentsButton,S3_select_schedulingTypeSelect_index_3,S2_type_amount,S5_select_schedulingTypeSelect_index_2,S1_wait_input,S7_select_schedulingTypeSelect_index_2,S0_type_memberUserName
validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,invalidAmountRight,SINGLE_FUTURE,action,SINGLE_FUTURE,test1
validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,validAcceptableAmount,SINGLE_FUTURE,action,SINGLE_FUTURE,test1
validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,invalidAmountLeft,SINGLE_FUTURE,action,SINGLE_FUTURE,test1
validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,validAcceptableAmount,SINGLE_FUTURE,action,SINGLE_FUTURE,test1
validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,invalidAmountLeft,SINGLE_FUTURE,action,SINGLE_FUTURE,test1
validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,invalidAmountRight,SINGLE_FUTURE,action,SINGLE_FUTURE,test1
invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,invalidAmountLeft,SINGLE_FUTURE,action,SINGLE_FUTURE,test1
invalidPaymentCountLef,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,invalidAmountRight,SINGLE_FUTURE,action,SINGLE_FUTURE,test1
invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,validAcceptableAmount,SINGLE_FUTURE,action,SINGLE_FUTURE,test1
invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,invalidAmountLeft,SINGLE_FUTURE,action,SINGLE_FUTURE,test1
invalidPaymentCountRight,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,invalidAmountRight,SINGLE_FUTURE,action,SINGLE_FUTURE,test1
invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,validAcceptableAmount,SINGLE_FUTURE,action,SINGLE_FUTURE,test1
validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,invalidAmountRight,SINGLE_FUTURE,action,SINGLE_FUTURE,test1
validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,validAcceptableAmount,SINGLE_FUTURE,action,SINGLE_FUTURE,test1
validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,invalidAmountLeft,SINGLE_FUTURE,action,SINGLE_FUTURE,test1
validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,invalidAmountRight,SINGLE_FUTURE,action,SINGLE_FUTURE,test1
validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,validAcceptableAmount,SINGLE_FUTURE,action,SINGLE_FUTURE,test1
validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,invalidAmountLeft,SINGLE_FUTURE,action,SINGLE_FUTURE,test1
invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,invalidAmountRight,SINGLE_FUTURE,action,SINGLE_FUTURE,test1
invalidPaymentCountLef,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,validAcceptableAmount,SINGLE_FUTURE,action,SINGLE_FUTURE,test1
invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,invalidAmountLeft,SINGLE_FUTURE,action,SINGLE_FUTURE,test1
invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,invalidAmountRight,SINGLE_FUTURE,action,SINGLE_FUTURE,test1
invalidPaymentCountRight,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,validAcceptableAmount,SINGLE_FUTURE,action,SINGLE_FUTURE,test1
invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,invalidAmountLeft,SINGLE_FUTURE,action,SINGLE_FUTURE,test1
