[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S10_submit_submitButton,S7_select_schedulingTypeSelect_index_2,S7_select_schedulingTypeSelect_index_1,S18_click_cssInputButton,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3
validPaymentCountBetween17and36,invalidAmountRight,action,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,validAcceptableAmount,action,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,invalidAmountLeft,action,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountRight,action,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,validAcceptableAmount,action,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountLeft,action,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountRight,action,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,validAcceptableAmount,action,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,action,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountRight,action,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,validAcceptableAmount,action,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountLeft,action,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
