[coverage strength]
3
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S12_click_calculatePaymentsButton,S3_select_schedulingTypeSelect_index_3,S14_type_description,S8c3_submit_submitButton
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,action,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,action,action,test1,action,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,action,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,action,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,action,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,action,action,test1,action,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,action,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,action,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,action,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountLeft,02/02/2012,action,action,test1,action,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,action,action,test1,action,MULTIPLE_FUTURE,anyString,action
