[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S14_submit_submitButton,S0_type_memberUserName,S12_click_calculatePaymentsButton
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountLeft,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountRight,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,validAcceptableAmount,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
