[coverage strength]
2
""
S7_type_paymentCount,S2_type_amount,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S10_submit_submitButton,S7_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountRight,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountRight,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,validAcceptableAmount,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountLeft,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountRight,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,validAcceptableAmount,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountLeft,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
