[coverage strength]
3
""
S7_type_paymentCount,S2_type_amount,S6_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S10_submit_submitButton,S7_select_schedulingTypeSelect_index_2,S18_click_cssInputButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3
validPaymentCountBetween17and36,invalidAmountRight,IMMEDIATELY,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,validAcceptableAmount,IMMEDIATELY,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,invalidAmountLeft,IMMEDIATELY,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,validAcceptableAmount,IMMEDIATELY,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountRight,IMMEDIATELY,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,validAcceptableAmount,IMMEDIATELY,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,IMMEDIATELY,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountRight,IMMEDIATELY,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE
