[coverage strength]
3
""
S7_type_paymentCount,S2_type_amount,S5_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_1,S1_wait_input,S10_submit_submitButton,S7_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3
validPaymentCountBetween17and36,invalidAmountRight,SINGLE_FUTURE,IMMEDIATELY,action,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,validAcceptableAmount,SINGLE_FUTURE,IMMEDIATELY,action,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,invalidAmountLeft,SINGLE_FUTURE,IMMEDIATELY,action,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountRight,SINGLE_FUTURE,IMMEDIATELY,action,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,validAcceptableAmount,SINGLE_FUTURE,IMMEDIATELY,action,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountLeft,SINGLE_FUTURE,IMMEDIATELY,action,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountRight,SINGLE_FUTURE,IMMEDIATELY,action,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,validAcceptableAmount,SINGLE_FUTURE,IMMEDIATELY,action,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,SINGLE_FUTURE,IMMEDIATELY,action,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountRight,SINGLE_FUTURE,IMMEDIATELY,action,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,validAcceptableAmount,SINGLE_FUTURE,IMMEDIATELY,action,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountLeft,SINGLE_FUTURE,IMMEDIATELY,action,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
