[coverage strength]
3
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S13_submit_submitButton
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,invalidAmountRight,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,DAYS,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,action
