[coverage strength]
4
""
S7_type_paymentCount,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_2,S12_click_calculatePaymentsButton,S11_type_recurrenceNumberText,S2_type_amount,S10_type_firstPaymentDate,S6_select_schedulingTypeSelect_index_1,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S0_type_memberUserName
validPaymentCountBetween17and36,SINGLE_FUTURE,SINGLE_FUTURE,action,validRecurrenceNumberBetween7and30,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween1and6,SINGLE_FUTURE,SINGLE_FUTURE,action,validRecurrenceNumberBetween1and7,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
invalidPaymentCountLef,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidRecurrenceNumberLef,invalidAmountRight,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
invalidPaymentCountRight,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidRecurrenceNumberRight,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween1and6,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidRecurrenceNumberRight,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
invalidPaymentCountLef,SINGLE_FUTURE,SINGLE_FUTURE,action,validRecurrenceNumberBetween7and30,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
invalidPaymentCountLef,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidRecurrenceNumberRight,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
invalidPaymentCountLef,SINGLE_FUTURE,SINGLE_FUTURE,action,validRecurrenceNumberBetween1and7,invalidAmountLeft,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
invalidPaymentCountRight,SINGLE_FUTURE,SINGLE_FUTURE,action,validRecurrenceNumberBetween1and7,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween1and6,SINGLE_FUTURE,SINGLE_FUTURE,action,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween17and36,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidRecurrenceNumberLef,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
invalidPaymentCountRight,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidRecurrenceNumberLef,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween17and36,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidRecurrenceNumberRight,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
