[coverage strength]
4
""
S7_type_paymentCount,S7_select_schedulingTypeSelect_index_2,S7_select_schedulingTypeSelect_index_1,S12_click_calculatePaymentsButton,S11_type_recurrenceNumberText,S2_type_amount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3
validPaymentCountBetween17and36,SINGLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,SINGLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,SINGLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,SINGLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,SINGLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,SINGLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,SINGLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,SINGLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,SINGLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,SINGLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,SINGLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,SINGLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
