[coverage strength]
5
""
S7_type_paymentCount,S10_type_firstPaymentDate,S6_select_schedulingTypeSelect_index_1,S14_submit_submitButton,S3_select_schedulingTypeSelect_index_3,S2_type_amount,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S7_select_schedulingTypeSelect_index_2,S18_click_cssInputButton,S11_click_calculatePaymentsButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,test1
invalidPaymentCountLef,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,test1
invalidPaymentCountRight,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,test1
