[coverage strength]
5
""
S7_type_paymentCount,S10_type_firstPaymentDate,S6_select_schedulingTypeSelect_index_1,S7_select_schedulingTypeSelect_index_1,S18_click_cssInputButton,S2_type_amount,S5_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S11_submit_submitButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3
validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE
