[coverage strength]
5
""
S7_type_paymentCount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_2,S14_submit_submitButton,S3_select_schedulingTypeSelect_index_3,S2_type_amount,S1_wait_input,S7_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S11_click_calculatePaymentsButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidAmountRight,action,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validAcceptableAmount,action,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidAmountLeft,action,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validAcceptableAmount,action,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidAmountLeft,action,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidAmountRight,action,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidAmountLeft,action,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidAmountRight,action,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validAcceptableAmount,action,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidAmountLeft,action,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidAmountRight,action,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validAcceptableAmount,action,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1
