[coverage strength]
6
""
S7_type_paymentCount,S10_type_firstPaymentDate,S6_select_schedulingTypeSelect_index_1,S7_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_3,S11_click_calculatePaymentsButton,S2_type_amount,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S0_type_memberUserName
validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidAmountLeft,SINGLE_FUTURE,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidAmountRight,SINGLE_FUTURE,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,validAcceptableAmount,SINGLE_FUTURE,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidAmountRight,SINGLE_FUTURE,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,validAcceptableAmount,SINGLE_FUTURE,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidAmountLeft,SINGLE_FUTURE,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,validAcceptableAmount,SINGLE_FUTURE,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,02/02/2012,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidAmountLeft,SINGLE_FUTURE,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,invalidAmountRight,SINGLE_FUTURE,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,validAcceptableAmount,SINGLE_FUTURE,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
