[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S7_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_3,S0_type_memberUserName,S12_submit_submitButton
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountLeft,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
