[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S14_submit_submitButton,S0_type_memberUserName,S13_click_calculatePaymentsButton
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,DAYS,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,WEEKS,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MONTHS,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
