[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S7_select_schedulingTypeSelect_index_1,S18_click_cssInputButton,S11_submit_submitButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountRight,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE
