[coverage strength]
5
""
S7_type_paymentCount,S3_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_1,S18_click_cssInputButton,S11_submit_submitButton,S2_type_amount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S0_type_memberUserName
validPaymentCountBetween17and36,IMMEDIATELY,IMMEDIATELY,action,action,invalidAmountRight,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,IMMEDIATELY,IMMEDIATELY,action,action,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,IMMEDIATELY,IMMEDIATELY,action,action,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,IMMEDIATELY,IMMEDIATELY,action,action,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,IMMEDIATELY,IMMEDIATELY,action,action,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,IMMEDIATELY,IMMEDIATELY,action,action,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,IMMEDIATELY,IMMEDIATELY,action,action,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,IMMEDIATELY,IMMEDIATELY,action,action,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,IMMEDIATELY,IMMEDIATELY,action,action,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,IMMEDIATELY,IMMEDIATELY,action,action,invalidAmountRight,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,IMMEDIATELY,IMMEDIATELY,action,action,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,IMMEDIATELY,IMMEDIATELY,action,action,invalidAmountRight,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
