[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S5_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S8c3_submit_submitButton,S3_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_1,S1_wait_input,S18_click_cssInputButton,S10_click_calculatePaymentsButton,S0_type_memberUserName,S14_type_description
validPaymentCountBetween17and36,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,IMMEDIATELY,action,action,action,test1,anyString
validPaymentCountBetween17and36,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,IMMEDIATELY,action,action,action,test1,anyString
validPaymentCountBetween17and36,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,IMMEDIATELY,action,action,action,test1,anyString
validPaymentCountBetween1and6,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,IMMEDIATELY,action,action,action,test1,anyString
validPaymentCountBetween1and6,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,IMMEDIATELY,action,action,action,test1,anyString
validPaymentCountBetween1and6,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,IMMEDIATELY,action,action,action,test1,anyString
invalidPaymentCountLef,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,IMMEDIATELY,action,action,action,test1,anyString
invalidPaymentCountLef,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,IMMEDIATELY,action,action,action,test1,anyString
invalidPaymentCountLef,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,IMMEDIATELY,action,action,action,test1,anyString
invalidPaymentCountRight,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,IMMEDIATELY,action,action,action,test1,anyString
invalidPaymentCountRight,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,IMMEDIATELY,action,action,action,test1,anyString
invalidPaymentCountRight,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,IMMEDIATELY,action,action,action,test1,anyString
