[coverage strength]
6
""
S7_type_paymentCount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S11_click_calculatePaymentsButton,S8c3_submit_submitButton,S2_type_amount,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description
validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,invalidAmountRight,action,action,test1,anyString
validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,validAcceptableAmount,action,action,test1,anyString
validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,invalidAmountLeft,action,action,test1,anyString
validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,validAcceptableAmount,action,action,test1,anyString
validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,invalidAmountLeft,action,action,test1,anyString
validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,invalidAmountRight,action,action,test1,anyString
invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,invalidAmountLeft,action,action,test1,anyString
invalidPaymentCountLef,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,invalidAmountRight,action,action,test1,anyString
invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,validAcceptableAmount,action,action,test1,anyString
invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,invalidAmountLeft,action,action,test1,anyString
invalidPaymentCountRight,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,action,invalidAmountRight,action,action,test1,anyString
invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,action,validAcceptableAmount,action,action,test1,anyString
