[coverage strength]
6
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S10_type_firstPaymentDate,S12_click_calculatePaymentsButton,S3_select_schedulingTypeSelect_index_3,S8c3_submit_submitButton,S2_type_amount,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,invalidAmountRight,action,action,test1,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,02/02/2012,action,MULTIPLE_FUTURE,action,validAcceptableAmount,action,action,test1,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,invalidAmountLeft,action,action,test1,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,validAcceptableAmount,action,action,test1,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,02/02/2012,action,MULTIPLE_FUTURE,action,invalidAmountLeft,action,action,test1,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,invalidAmountRight,action,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,invalidAmountLeft,action,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,02/02/2012,action,MULTIPLE_FUTURE,action,invalidAmountRight,action,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,validAcceptableAmount,action,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,invalidAmountLeft,action,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,02/02/2012,action,MULTIPLE_FUTURE,action,invalidAmountRight,action,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,validAcceptableAmount,action,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,invalidAmountLeft,action,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,02/02/2012,action,MULTIPLE_FUTURE,action,invalidAmountRight,action,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,validAcceptableAmount,action,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,invalidAmountRight,action,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,02/02/2012,action,MULTIPLE_FUTURE,action,validAcceptableAmount,action,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,invalidAmountLeft,action,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,validAcceptableAmount,action,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,02/02/2012,action,MULTIPLE_FUTURE,action,invalidAmountLeft,action,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,invalidAmountRight,action,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,validAcceptableAmount,action,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,02/02/2012,action,MULTIPLE_FUTURE,action,invalidAmountLeft,action,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,invalidAmountRight,action,action,test1,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,validAcceptableAmount,action,action,test1,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,02/02/2012,action,MULTIPLE_FUTURE,action,invalidAmountLeft,action,action,test1,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,invalidAmountRight,action,action,test1,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,invalidAmountLeft,action,action,test1,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,02/02/2012,action,MULTIPLE_FUTURE,action,invalidAmountRight,action,action,test1,anyString
