[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S6_select_schedulingTypeSelect_index_1,S7_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S10_submit_submitButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidAmountRight,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,validAcceptableAmount,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidAmountLeft,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidAmountRight,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
