[coverage strength]
6
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_2,S7_select_schedulingTypeSelect_index_2,S12_click_calculatePaymentsButton,S2_type_amount,S6_select_schedulingTypeSelect_index_1,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentFutureDate,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,02/02/2012,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentPastDate,SINGLE_FUTURE,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentFutureDate,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,02/02/2012,SINGLE_FUTURE,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentPastDate,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentFutureDate,SINGLE_FUTURE,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,02/02/2012,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentPastDate,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidPaymentFutureDate,SINGLE_FUTURE,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,02/02/2012,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,test1,MULTIPLE_FUTURE
