[coverage strength]
2
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S7_select_schedulingTypeSelect_index_2,S7_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_3,S0_type_memberUserName,S12_submit_submitButton,S3_select_schedulingTypeSelect_index_3
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,test1,action,MULTIPLE_FUTURE
