[coverage strength]
4
""
S7_type_paymentCount,S3_select_schedulingTypeSelect_index_1,S7_select_schedulingTypeSelect_index_2,S12_click_calculatePaymentsButton,S11_type_recurrenceNumberText,S2_type_amount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S0_type_memberUserName
validPaymentCountBetween17and36,IMMEDIATELY,SINGLE_FUTURE,action,validRecurrenceNumberBetween1and7,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween1and6,IMMEDIATELY,SINGLE_FUTURE,action,invalidRecurrenceNumberLef,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidPaymentCountLef,IMMEDIATELY,SINGLE_FUTURE,action,invalidRecurrenceNumberRight,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidPaymentCountRight,IMMEDIATELY,SINGLE_FUTURE,action,validRecurrenceNumberBetween7and30,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidPaymentCountRight,IMMEDIATELY,SINGLE_FUTURE,action,validRecurrenceNumberBetween1and7,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween1and6,IMMEDIATELY,SINGLE_FUTURE,action,validRecurrenceNumberBetween7and30,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidPaymentCountLef,IMMEDIATELY,SINGLE_FUTURE,action,validRecurrenceNumberBetween1and7,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween17and36,IMMEDIATELY,SINGLE_FUTURE,action,invalidRecurrenceNumberLef,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween17and36,IMMEDIATELY,SINGLE_FUTURE,action,invalidRecurrenceNumberRight,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidPaymentCountLef,IMMEDIATELY,SINGLE_FUTURE,action,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidPaymentCountRight,IMMEDIATELY,SINGLE_FUTURE,action,invalidRecurrenceNumberLef,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween1and6,IMMEDIATELY,SINGLE_FUTURE,action,invalidRecurrenceNumberRight,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
