[coverage strength]
5
""
S7_type_paymentCount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S7_select_schedulingTypeSelect_index_2,S11_click_calculatePaymentsButton,S2_type_amount,S6_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S0_type_memberUserName
validPaymentCountBetween17and36,invalidPaymentFutureDate,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween17and36,02/02/2012,SINGLE_FUTURE,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween17and36,invalidPaymentPastDate,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween1and6,invalidPaymentFutureDate,SINGLE_FUTURE,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween1and6,02/02/2012,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween1and6,invalidPaymentPastDate,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidPaymentCountLef,invalidPaymentFutureDate,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidPaymentCountLef,02/02/2012,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidPaymentCountLef,invalidPaymentPastDate,SINGLE_FUTURE,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidPaymentCountRight,invalidPaymentFutureDate,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidPaymentCountRight,02/02/2012,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidPaymentCountRight,invalidPaymentPastDate,SINGLE_FUTURE,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
