[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_3,S13_click_calculatePaymentsButton,S12_select_recurrenceFieldSelect,S2_type_amount,S3_select_schedulingTypeSelect_index_1,S1_wait_input,S18_click_cssInputButton,S14_submit_submitButton,S0_type_memberUserName
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,DAYS,invalidAmountRight,IMMEDIATELY,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,02/02/2012,MULTIPLE_FUTURE,action,WEEKS,validAcceptableAmount,IMMEDIATELY,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MONTHS,invalidAmountLeft,IMMEDIATELY,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,WEEKS,invalidAmountLeft,IMMEDIATELY,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,02/02/2012,MULTIPLE_FUTURE,action,MONTHS,invalidAmountRight,IMMEDIATELY,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentPastDate,MULTIPLE_FUTURE,action,DAYS,validAcceptableAmount,IMMEDIATELY,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MONTHS,validAcceptableAmount,IMMEDIATELY,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,02/02/2012,MULTIPLE_FUTURE,action,DAYS,invalidAmountLeft,IMMEDIATELY,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentPastDate,MULTIPLE_FUTURE,action,WEEKS,invalidAmountRight,IMMEDIATELY,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MONTHS,invalidAmountLeft,IMMEDIATELY,action,action,action,test1
