[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S3_select_schedulingTypeSelect_index_1,S7_select_schedulingTypeSelect_index_2,S8c3_submit_submitButton,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S10_click_calculatePaymentsButton,S0_type_memberUserName,S14_type_description
validPaymentCountBetween17and36,invalidAmountRight,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween17and36,validAcceptableAmount,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween17and36,invalidAmountLeft,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween1and6,validAcceptableAmount,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString
invalidPaymentCountLef,invalidAmountRight,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString
invalidPaymentCountLef,validAcceptableAmount,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString
invalidPaymentCountLef,invalidAmountLeft,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString
invalidPaymentCountRight,invalidAmountRight,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString
invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString
invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString
