[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S7_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S13_submit_submitButton
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,invalidAmountLeft,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,invalidAmountLeft,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,invalidAmountLeft,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,invalidAmountLeft,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,invalidAmountLeft,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,invalidAmountLeft,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,invalidAmountLeft,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,invalidAmountLeft,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,DAYS,invalidAmountRight,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,DAYS,validAcceptableAmount,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,WEEKS,invalidAmountRight,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,WEEKS,validAcceptableAmount,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,invalidAmountRight,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,validAcceptableAmount,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,DAYS,invalidAmountLeft,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,WEEKS,invalidAmountLeft,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,DAYS,invalidAmountLeft,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,invalidAmountLeft,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,invalidAmountLeft,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,DAYS,invalidAmountLeft,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,WEEKS,invalidAmountLeft,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MONTHS,invalidAmountLeft,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,invalidAmountRight,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,validAcceptableAmount,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,invalidAmountRight,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,validAcceptableAmount,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,invalidAmountRight,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,validAcceptableAmount,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,DAYS,invalidAmountLeft,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,WEEKS,invalidAmountLeft,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MONTHS,invalidAmountLeft,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,DAYS,invalidAmountLeft,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,WEEKS,invalidAmountLeft,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MONTHS,invalidAmountLeft,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,DAYS,invalidAmountLeft,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,WEEKS,invalidAmountLeft,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,invalidAmountRight,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,validAcceptableAmount,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,WEEKS,invalidAmountRight,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
