[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S7_select_schedulingTypeSelect_index_1,S18_click_cssInputButton,S10_click_calculatePaymentsButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S14_type_description,S8c3_submit_submitButton
validPaymentCountBetween17and36,invalidAmountRight,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween17and36,validAcceptableAmount,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween17and36,invalidAmountLeft,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,invalidAmountRight,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,validAcceptableAmount,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,invalidAmountLeft,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,invalidAmountRight,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,validAcceptableAmount,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,invalidAmountLeft,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,invalidAmountRight,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,validAcceptableAmount,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,invalidAmountLeft,MULTIPLE_FUTURE,action,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,anyString,action
