[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S7_select_schedulingTypeSelect_index_2,S7_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S10_click_calculatePaymentsButton,S14_submit_submitButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3
validPaymentCountBetween17and36,invalidAmountRight,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,validAcceptableAmount,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,invalidAmountLeft,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountRight,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,validAcceptableAmount,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountLeft,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountRight,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,validAcceptableAmount,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountRight,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,validAcceptableAmount,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountLeft,MULTIPLE_FUTURE,action,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
