[coverage strength]
3
""
S7_type_paymentCount,S12_select_recurrenceFieldSelect,S8c3_submit_submitButton,S11_type_recurrenceNumberText,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S14_type_description,S13_click_calculatePaymentsButton
validPaymentCountBetween17and36,DAYS,action,invalidRecurrenceNumberLef,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween17and36,WEEKS,action,invalidRecurrenceNumberRight,validAcceptableAmount,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween17and36,MONTHS,action,validRecurrenceNumberBetween7and30,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,DAYS,action,validRecurrenceNumberBetween1and7,validAcceptableAmount,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,WEEKS,action,invalidRecurrenceNumberLef,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,MONTHS,action,invalidRecurrenceNumberRight,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,DAYS,action,validRecurrenceNumberBetween7and30,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,WEEKS,action,validRecurrenceNumberBetween1and7,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,MONTHS,action,invalidRecurrenceNumberLef,validAcceptableAmount,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,DAYS,action,invalidRecurrenceNumberRight,invalidAmountLeft,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,WEEKS,action,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,MONTHS,action,validRecurrenceNumberBetween1and7,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
