[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S6_select_schedulingTypeSelect_index_3,S8c3_submit_submitButton,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S12_click_calculatePaymentsButton,S14_type_description
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MULTIPLE_FUTURE,action,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MULTIPLE_FUTURE,action,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MULTIPLE_FUTURE,action,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MULTIPLE_FUTURE,action,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MULTIPLE_FUTURE,action,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MULTIPLE_FUTURE,action,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MULTIPLE_FUTURE,action,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MULTIPLE_FUTURE,action,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,action,test1,action,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MULTIPLE_FUTURE,action,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,action,test1,action,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MULTIPLE_FUTURE,action,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,test1,action,anyString
invalidRecurrenceNumberLef,invalidPaymentCountLef,MULTIPLE_FUTURE,action,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,action,test1,action,anyString
invalidRecurrenceNumberLef,invalidPaymentCountRight,MULTIPLE_FUTURE,action,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,test1,action,anyString
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MULTIPLE_FUTURE,action,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,test1,action,anyString
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MULTIPLE_FUTURE,action,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,action,test1,action,anyString
invalidRecurrenceNumberRight,invalidPaymentCountLef,MULTIPLE_FUTURE,action,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,action,test1,action,anyString
invalidRecurrenceNumberRight,invalidPaymentCountRight,MULTIPLE_FUTURE,action,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,action,test1,action,anyString
