[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S8c3_submit_submitButton,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S14_type_description,S13_click_calculatePaymentsButton
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,action,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,action,validAcceptableAmount,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,action,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,action,invalidAmountLeft,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,action,invalidAmountRight,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,action,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,action,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,action,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,action,invalidAmountRight,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,DAYS,action,validAcceptableAmount,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,WEEKS,action,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,action,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,DAYS,action,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,WEEKS,action,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,action,validAcceptableAmount,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,DAYS,action,invalidAmountRight,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,action,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,action,invalidAmountLeft,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,DAYS,action,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,WEEKS,action,invalidAmountRight,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MONTHS,action,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,action,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,action,invalidAmountRight,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,action,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,DAYS,action,validAcceptableAmount,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,WEEKS,action,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MONTHS,action,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,DAYS,action,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,WEEKS,action,invalidAmountLeft,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MONTHS,action,invalidAmountRight,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,DAYS,action,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,WEEKS,action,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,MONTHS,action,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,action,invalidAmountRight,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,WEEKS,action,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,action,invalidAmountLeft,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,DAYS,action,invalidAmountRight,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,action,validAcceptableAmount,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,action,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,DAYS,action,validAcceptableAmount,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,WEEKS,action,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MONTHS,action,invalidAmountRight,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,DAYS,action,invalidAmountLeft,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,WEEKS,action,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,MONTHS,action,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,DAYS,action,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,WEEKS,action,invalidAmountRight,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,MONTHS,action,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,DAYS,action,invalidAmountRight,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,WEEKS,action,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,action,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,WEEKS,action,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MONTHS,action,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,action,invalidAmountRight,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,DAYS,action,invalidAmountRight,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action
