[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S7_select_schedulingTypeSelect_index_2,S14_submit_submitButton,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S12_click_calculatePaymentsButton,S3_select_schedulingTypeSelect_index_3
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,SINGLE_FUTURE,action,validAcceptableAmount,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,SINGLE_FUTURE,action,invalidAmountLeft,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,SINGLE_FUTURE,action,invalidAmountRight,02/02/2012,action,MULTIPLE_FUTURE,action,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,SINGLE_FUTURE,action,invalidAmountRight,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,SINGLE_FUTURE,action,invalidAmountLeft,02/02/2012,action,MULTIPLE_FUTURE,action,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,SINGLE_FUTURE,action,invalidAmountRight,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,SINGLE_FUTURE,action,validAcceptableAmount,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,SINGLE_FUTURE,action,invalidAmountLeft,02/02/2012,action,MULTIPLE_FUTURE,action,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,SINGLE_FUTURE,action,invalidAmountLeft,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,SINGLE_FUTURE,action,invalidAmountRight,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountLef,SINGLE_FUTURE,action,validAcceptableAmount,02/02/2012,action,MULTIPLE_FUTURE,action,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountRight,SINGLE_FUTURE,action,validAcceptableAmount,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,SINGLE_FUTURE,action,invalidAmountLeft,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,SINGLE_FUTURE,action,invalidAmountRight,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,invalidPaymentCountLef,SINGLE_FUTURE,action,validAcceptableAmount,02/02/2012,action,MULTIPLE_FUTURE,action,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,invalidPaymentCountRight,SINGLE_FUTURE,action,validAcceptableAmount,02/02/2012,action,MULTIPLE_FUTURE,action,test1,action,MULTIPLE_FUTURE
