[coverage strength]
4
""
S7_type_paymentCount,S10_type_firstPaymentDate,S7_select_schedulingTypeSelect_index_1,S8c3_submit_submitButton,S2_type_amount,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S11_click_calculatePaymentsButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S14_type_description
validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,action,invalidAmountRight,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE,anyString
validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,action,validAcceptableAmount,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE,anyString
validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,action,invalidAmountLeft,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE,anyString
validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,action,validAcceptableAmount,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE,anyString
validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,action,invalidAmountRight,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE,anyString
validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,action,validAcceptableAmount,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,action,invalidAmountLeft,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountLef,02/02/2012,IMMEDIATELY,action,invalidAmountLeft,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,action,invalidAmountRight,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,action,validAcceptableAmount,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountRight,02/02/2012,IMMEDIATELY,action,invalidAmountLeft,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,action,invalidAmountRight,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE,anyString
