[coverage strength]
5
""
S3_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_3,S11_click_calculatePaymentsButton,S14_submit_submitButton,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,action,action,test1
IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,action,action,test1
IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,action,action,test1
IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,action,action,test1
IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,invalidPaymentCountLef,invalidAmountLeft,02/02/2012,action,action,test1
IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,action,action,test1
IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,invalidPaymentCountRight,invalidAmountLeft,02/02/2012,action,action,test1
