[coverage strength]
5
""
S7_type_paymentCount,S3_select_schedulingTypeSelect_index_1,S7_select_schedulingTypeSelect_index_2,S18_click_cssInputButton,S11_submit_submitButton,S2_type_amount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S0_type_memberUserName
validPaymentCountBetween17and36,IMMEDIATELY,SINGLE_FUTURE,action,action,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween1and6,IMMEDIATELY,SINGLE_FUTURE,action,action,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidPaymentCountLef,IMMEDIATELY,SINGLE_FUTURE,action,action,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidPaymentCountRight,IMMEDIATELY,SINGLE_FUTURE,action,action,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidPaymentCountLef,IMMEDIATELY,SINGLE_FUTURE,action,action,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween17and36,IMMEDIATELY,SINGLE_FUTURE,action,action,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidPaymentCountRight,IMMEDIATELY,SINGLE_FUTURE,action,action,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween1and6,IMMEDIATELY,SINGLE_FUTURE,action,action,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween17and36,IMMEDIATELY,SINGLE_FUTURE,action,action,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween17and36,IMMEDIATELY,SINGLE_FUTURE,action,action,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidPaymentCountLef,IMMEDIATELY,SINGLE_FUTURE,action,action,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidPaymentCountRight,IMMEDIATELY,SINGLE_FUTURE,action,action,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween17and36,IMMEDIATELY,SINGLE_FUTURE,action,action,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween1and6,IMMEDIATELY,SINGLE_FUTURE,action,action,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidPaymentCountLef,IMMEDIATELY,SINGLE_FUTURE,action,action,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
